title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分,评论
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],6,7,7,6,7,7,43.37608841,
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],8,7,4,8,7,4,40.89592968,恐怖的；
0.5%谷氨酸钠溶液计划,1,9,9,1,9,9,40.78201162,趣味的；
11 月 23 日霰呚,2,4,6,2,4,6,26.22719035,感觉有点 SCP 记录的味道。
2023-06-11 闲话,0,3,0,0,3,0,5.905511811,这个是不是不算文学作品也不魔怔。
2023-09-28,1,4,6,1,4,6,23.99504749,
2023.9.28 旧事重提,3,7,8,3,7,8,38.99447465,
4月13日闲话,4,8,1,4,8,1,26.99141774,
Azune FFT,1,7,9,1,7,9,36.84500375,啊？？？好多，没见过的东西。
B3800题解,0,2,9,0,2,9,24.77034121,
NOIP2022 VP 游记,0,8,10,0,8,10,38.89617964,zak will beat you!
P8353 题解,0,8,8,0,8,8,34.26655001,
SDFZ 拼贴卷子,1,2,9,1,2,9,27.00248406,
sszcdjr,0,0,5,0,0,5,11.57407407,感觉这个被玩过很多次了就无趣了；
Two stars overlapped.,8,5,0,8,5,0,27.69966254,
出生传,3,7,8,3,7,8,38.99447465,我觉得作者适合写 SCP。
哦（一）,3,6,8,3,6,8,37.02597071,
合,7,1,10,7,1,10,40.74165209,扭曲。
极限运动,7,8,7,7,8,7,47.5767352,有趣！！！
杰尼龟凭啥儿不能学喷射火焰？？2,1,1,9,1,1,9,25.03398013,这是什么。好乱。
绝症,6,4,5,6,4,5,32.84094696,
可是这是我们最后一次见面啊 ,1,1,7,1,1,7,20.4043505,
泪水之机械迷城,8,7,5,8,7,5,43.21074449,bot.
礼,6,6,6,6,6,6,39.09276965,
没抢到小三明治,8,4,8,8,4,8,44.24967712,有逻辑的随机说话。
人生若只如初见,6,9,4,6,9,4,40.36865184,
如来 ,0,0,5,0,0,5,11.57407407,
杀人煮心5,10,9,7,10,9,7,56.24166771,最喜欢的！！赞美情节和r18g（划掉
沙波儿历险记,1,1,10,1,1,10,27.34879494,沙↓↑波→儿←
生在不醒梦之中,9,7,1,9,7,1,36.18362809,
树,10,9,2,10,9,2,44.66759363,
随机说话。,5,0,9,5,0,9,31.99404762,
退役记,7,7,3,7,7,3,36.348972,
完美无缺,7,6,5,7,6,5,39.0100977,
我服了爸爸,0,0,10,0,0,10,23.14814815,
我没有妄想症。,7,3,7,7,3,7,37.73421551,
我受够了吗？我受得还不够！,7,5,9,7,5,9,46.30085302,
先知,5,7,7,5,7,7,41.14394555,
闲话,8,9,8,8,9,8,54.09219681,
小刀,8,7,5,8,7,5,43.21074449,
信息学竞赛,0,0,7,0,0,7,16.2037037,
言,1,5,9,1,5,9,32.90799588,作者能不能怜惜一下没学过语言学的人啊/kel，完全看不懂（
医生说我需要做一个脑部手术,5,2,8,5,2,8,33.61624068,
永恒暑假的记录,6,7,5,6,7,5,38.74645878,
造句练习,2,3,7,2,3,7,26.57350123,
纸飞机,6,5,9,6,5,9,44.06871016,
最后一块拼图,9,7,3,9,7,3,40.81325772,
