"title","原始评分-文采","原始评分-思维","原始评分-魔怔","文采","思维","魔怔","总分"
"[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格]",43,42,47,6.57142857142857,6.28571428571429,6,36.8398941908675
"[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音]",43,42,47,6.57142857142857,6.28571428571429,6,36.8398941908675
"0.5%谷氨酸钠溶液计划",41,38,46,6,5.14285714285714,5.5,32.7024451737391
"11 月 23 日霰呚",41,42,42,6,6.28571428571429,3.5,29.2749890553079
"2023-06-11 闲话",39,46,44,5.42857142857143,7.42857142857143,4.5,32.9362690091322
"2023-09-28",43,40,42,6.57142857142857,5.71428571428571,3.5,29.2285778451098
"2023.9.28 旧事重提",37,45,47,4.85714285714286,7.14285714285714,6,35.5532723081538
"4月13日闲话",48,45,46,8,7.14285714285714,5.5,39.1939983334831
"Azune FFT",47,47,47,7.71428571428571,7.71428571428571,6,41.0246383103953
"B3800题解",20,20,35,0,0,0,0
"NOIP2022 VP 游记",39,39,46,5.42857142857143,5.42857142857143,5.5,32.2735712128346
"P8353 题解",40,43,48,5.71428571428571,6.57142857142857,6.5,37.2910898646698
"SDFZ 拼贴卷子",33,32,37,3.71428571428571,3.42857142857143,1,14.2447548126999
"sszcdjr",38,34,40,5.14285714285714,4,2.5,21.4521705870548
"Two stars overlapped.",45,42,47,7.14285714285714,6.28571428571429,6,37.7440533228747
"出生传",41,40,43,6,5.71428571428571,4,29.656567913813
"哦（一）",50,45,46,8.57142857142857,7.14285714285714,5.5,40.0981574654903
"合",45,43,46,7.14285714285714,6.57142857142857,5.5,36.8871892932669
"极限运动",50,48,52,8.57142857142857,8,8.5,49.5169081830612
"镓钇镍镥铟晶体",39,39,46,5.42857142857143,5.42857142857143,5.5,32.2735712128346
"杰尼龟凭啥儿不能学喷射火焰？？2",52,51,53,9.14285714285714,8.85714285714286,9,53.1790720290869
"金色的太阳花海",50,47,50,8.57142857142857,7.71428571428571,7.5,46.3773246105376
"绝症",47,42,47,7.71428571428571,6.28571428571429,6,38.648212454882
"可是这是我们最后一次见面啊 ",40,41,45,5.71428571428571,6,5,32.344071920333
"泪水之机械迷城",35,38,46,4.28571428571429,5.14285714285714,5.5,29.9899677777174
"没抢到小三明治",49,49,48,8.28571428571429,8.28571428571429,6.5,44.2115169853183
"人生若只如初见",47,46,45,7.71428571428571,7.42857142857143,5,37.8850547378716
"如来 ",36,38,49,4.57142857142857,5.14285714285714,7,34.4384949458525
"杀人煮心5",50,49,48,8.57142857142857,8.28571428571429,6.5,44.6635965513219
"沙波儿历险记",34,36,50,4,4.57142857142857,7.5,33.9159146723504
"生在不醒梦之中",46,46,49,7.42857142857143,7.42857142857143,7,42.76157197471
"树",53,42,47,9.42857142857143,6.28571428571429,6,41.3606898509037
"随机说话。",36,30,50,4.57142857142857,2.85714285714286,7.5,31.9683627777417
"退役记",36,40,45,4.57142857142857,5.71428571428571,5,30.0604684852159
"完美无缺",37,38,47,4.85714285714286,5.14285714285714,6,32.2262761104351
"我服了爸爸",36,32,47,4.57142857142857,3.42857142857143,6,28.9224855178156
"我没有妄想症。",39,37,47,5.42857142857143,4.85714285714286,6,32.6551500713397
"我受够了吗？我受得还不够！",47,41,49,7.71428571428571,6,7,40.8372256852003
"先知",30,32,45,2.85714285714286,3.42857142857143,5,23.5457097203729
"闲话",50,46,45,8.57142857142857,7.42857142857143,5,39.2412934358825
"小刀",46,47,46,7.42857142857143,7.71428571428571,5.5,39.2404095436812
"信息学竞赛",42,34,41,6.28571428571429,4,3,24.5926380517797
"医生说我需要做一个脑部手术",42,45,46,6.28571428571429,7.14285714285714,5.5,36.4815209374614
"永恒暑假的记录",39,36,48,5.42857142857143,4.57142857142857,6.5,33.5120141009475
"造句练习",42,42,45,6.28571428571429,6.28571428571429,5,33.7235162234429
"纸飞机",47,42,48,7.71428571428571,6.28571428571429,6.5,39.9803616555924
"最后一块拼图",46,43,48,7.42857142857143,6.57142857142857,6.5,40.0035672606915
