title,原始评分-文采,原始评分-思维,原始评分-魔怔,文采,思维,魔怔,总分
[ID:0000 Date:20230926 Level:ins] [Archive_Name:没有及格],5,4,6,2.857142857,1.428571429,4.285714286,28.43657923
[ID:0002 Date:20230927 Level:ins] [Archive_Name:噪音],5,4,5,2.857142857,1.428571429,2.857142857,23.00179662
0.5%谷氨酸钠溶液计划,4,6,5,1.428571429,4.285714286,2.857142857,27.26625943
11 月 23 日霰呚,4,5,6,1.428571429,2.857142857,4.285714286,28.56881064
2023-06-11 闲话,4,6,4,1.428571429,4.285714286,1.428571429,21.83147682
2023-09-28,4,5,3,1.428571429,2.857142857,0,12.26446281
2023.9.28 旧事重提,5,3,4,2.857142857,0,1.428571429,13.43478261
4月13日闲话,6,7,5,4.285714286,5.714285714,2.857142857,39.39849084
B3800题解,3,3,3,0,0,0,0
NOIP2022 VP 游记,6,7,7,4.285714286,5.714285714,5.714285714,50.26805605
P8353 题解,5,7,8,2.857142857,5.714285714,7.142857143,51.70283866
SDFZ 拼贴卷子,4,3,5,1.428571429,0,2.857142857,14.86956522
sszcdjr,5,3,6,2.857142857,0,4.285714286,24.30434783
Two stars overlapped.,6,6,5,4.285714286,4.285714286,2.857142857,35.26625943
哦（一）,6,5,5,4.285714286,2.857142857,2.857142857,31.13402803
合,6,5,6,4.285714286,2.857142857,4.285714286,36.56881064
极限运动,7,8,7,5.714285714,7.142857143,5.714285714,58.40028746
镓钇镍镥铟晶体,7,7,7,5.714285714,5.714285714,5.714285714,54.26805605
杰尼龟凭啥儿不能学喷射火焰？？2,4,5,6,1.428571429,2.857142857,4.285714286,28.56881064
金色的太阳花海,6,6,5,4.285714286,4.285714286,2.857142857,35.26625943
绝症,5,4,5,2.857142857,1.428571429,2.857142857,23.00179662
可是这是我们最后一次见面啊 ,4,4,6,1.428571429,1.428571429,4.285714286,24.43657923
泪水之机械迷城,5,7,5,2.857142857,5.714285714,2.857142857,35.39849084
礼,4,3,6,1.428571429,0,4.285714286,20.30434783
没抢到小三明治,7,7,6,5.714285714,5.714285714,4.285714286,48.83327345
人生若只如初见,6,6,6,4.285714286,4.285714286,4.285714286,40.70104204
如来 ,5,3,6,2.857142857,0,4.285714286,24.30434783
杀人煮心5,7,7,7,5.714285714,5.714285714,5.714285714,54.26805605
沙波儿历险记,4,5,5,1.428571429,2.857142857,2.857142857,23.13402803
生在不醒梦之中,7,7,6,5.714285714,5.714285714,4.285714286,48.83327345
树,8,6,3,7.142857143,4.285714286,0,32.39669421
随机说话。,5,4,6,2.857142857,1.428571429,4.285714286,28.43657923
退役记,5,5,5,2.857142857,2.857142857,2.857142857,27.13402803
完美无缺,6,6,6,4.285714286,4.285714286,4.285714286,40.70104204
我服了爸爸,6,6,7,4.285714286,4.285714286,5.714285714,46.13582465
我没有妄想症。,7,7,7,5.714285714,5.714285714,5.714285714,54.26805605
我受够了吗？我受得还不够！,6,7,7,4.285714286,5.714285714,5.714285714,50.26805605
先知,4,4,6,1.428571429,1.428571429,4.285714286,24.43657923
闲话,7,7,6,5.714285714,5.714285714,4.285714286,48.83327345
小刀,4,4,6,1.428571429,1.428571429,4.285714286,24.43657923
信息学竞赛,6,6,6,4.285714286,4.285714286,4.285714286,40.70104204
言,4,3,6,1.428571429,0,4.285714286,20.30434783
医生说我需要做一个脑部手术,6,4,7,4.285714286,1.428571429,5.714285714,37.87136184
永恒暑假的记录,4,5,4,1.428571429,2.857142857,1.428571429,17.69924542
造句练习,6,4,6,4.285714286,1.428571429,4.285714286,32.43657923
纸飞机,5,5,5,2.857142857,2.857142857,2.857142857,27.13402803
最后一块拼图,7,7,6,5.714285714,5.714285714,4.285714286,48.83327345
